ID,Email,Titulo,Universidade,Autores,Apoio,Conflito
AO0014,,"Desenvolvimento de um material teste mastigável clínico para a avaliação da função mastigatória","Odontologia - UNIVERSIDADE ESTADUAL DE PONTA GROSSA.","Carneiro DE*, Costa CA, Martinello PA, Wendling MM, Silva FP, Farago PV, Sánchez-Ayala A","<em>(Apoio: CAPES | FAPs - Fundação Araucária)</em>","Não há conflito de interesse"
AO0015,,"Infraestruturas de protocolos <em>All-on-four</em> confeccionadas em zircônia ou cobalto-cromo: avaliação do comportamento biomecânico","Prótese e Periodontia - FACULDADE DE ODONTOLOGIA DE PIRACICABA.","Barbin T*, Del-Rio-Silva L, Velôso DV, Borges GA, Presotto AGC, Barão VAR, Groppo FC, Mesquita MF","<em>(Apoio: FAPs - FAPESP N° 2017/15297-0 e 2017/16303-3 | CAPES N° 001 | CNPq N° 306373/2015-7)</em>","Não há conflito de interesse"
AO0016,,"Ação antimicrobiana de dentífricos para próteses totais à base de óleos essenciais","Reabilitação Oral - UNIVERSIDADE DE SÃO PAULO - RIBEIRÃO PRETO.","Santos ACM*, Silva-Lovato CH, Ogasawara MS, Watanabe E, Macedo AP, Oliveira VC, Bastos JK, Paranhos HFO","<em>(Apoio: Fundação de Amparo a Pesquisa do Estado de São Paulo N° 2019/02404-8)</em>","Não há conflito de interesse"
AO0017,,"Avaliação do impacto do trauma oclusal experimental na sensibilização do gânglio trigeminal de ratos","Odontologia - FACULDADE DE ODONTOLOGIA SÃO LEOPOLDO MANDIC.","Lopes MF*, Abdalla HB, Napimoga MH, Santos PCV, Silva CAT, Silva WAB, Silva FA, Clemente-Napimoga JT",,"Não há conflito de interesse"
AO0018,,"Epidemiologia das perdas faciais e avaliação da perspectiva de qualidade de vida antes da reabilitação Protética Bucomaxilofacial","UNIVERSIDADE DE SÃO PAULO - SÃO PAULO.","Dantas BCK*, Gomes B, Berard LT, Elchin CB, Pinto HG, Melo RMO, Santos RLO, Coto NP",,"Não há conflito de interesse"
AO0019,,"Anestesia local diminui a hiperalgesia do masseter induzida pelo fator de crescimento nervoso","Prótese e Periodontia - FACULDADE DE ODONTOLOGIA DE PIRACICABA.","Ardestani SS*, Exposto FG, Castrillon EE, Conti PCR, Bonjardim LR, Svensson P, Costa YM","<em>(Apoio: FAPs - Fapesp N° 2015/09913-4 | FAPs - Fapesp N° 2018/00614-2)</em>","Não há conflito de interesse"
AO0020,,"Avaliação de auto cuidado e higiene oral dos pacientes acometidos por perdas faciais","Cirurgia, Prótese e Tra - UNIVERSIDADE DE SÃO PAULO - SÃO PAULO.","Gomes B*, Dantas BCK, Elchin CB, Melo RMO, Berard LT, Guiguer Pinto VA, Santos RO, Coto NP",,"Não há conflito de interesse"
AO0021,,"Associação entre sintomas de disfunção temporomandibular, cefaleias primárias e severidade da síndrome da apneia obstrutiva do sono","Programa de Pós Graduação Em Odontologia - CENTRO UNIVERSITÁRIO DA FUNDAÇÃO HERMÍNIO OMETTO.","Freire SA*, Santos FLA, Souza VA, Custodio W, Godoi APT, Degan VV, Venezian GC",,"Não há conflito de interesse"
AO0022,,"Análise dos Centros de Especialidades Odontológicas a partir da certificação do 2º Ciclo do Programa de Melhoria do Acesso e da Qualidade","Clínica e Odontologia Social - UNIVERSIDADE FEDERAL DA PARAÍBA.","Lucena EHG*, Lucena CDRX, Sena-Junior MR, Ishigame RTP, Figueiredo N, Goes PSA, Cavalcanti YW",,"Não há conflito de interesse"
AO0023,,"Estudo de associação genética e fatores de risco da Hipomineralização Molar-incisivo","Odontologia - PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ.","Corrêa EG*, Souza CM, Moysés SJ, Rocha JS, Werneck RI","<em>(Apoio: CAPES)</em>","Não há conflito de interesse"
AO0024,,"Ser mãe de um filho com paralisia cerebral: percepção do momento do diagnóstico e da saúde geral e bucal da criança","UNIVERSIDADE FEDERAL DE MINAS GERAIS.","Rabello F*, Martins MB, Prado HV, Carneiro NCR, Martins RC, Borges-Oliveira AC","<em>(Apoio: FAPEMIG)</em>","Não há conflito de interesse"
AO0025,,"Alterações bucais pós tratamento oncológico: o impacto da quimioterapia e radioterapia","UNIVERSIDADE FEDERAL DE ALFENAS.","Machado BMSM*, Fonseca LFFS, Bergo BR, Barbosa MCF, Oliveira EJP, Fernandes LA, Lima DC",,"Não há conflito de interesse"
AO0026,,"Modelando os caminhos na associação entre consumo de açúcares de adição,  obesidade nas díades mãe-filho e carga de doença bucal na infância","Programa de Pós Graduação Em Odontologia - UNIVERSIDADE FEDERAL DO MARANHÃO.","Pereira SMS*, Costa EL, Nunes AMM, Lima GQT, Ribeiro CCC","<em>(Apoio: FAPEMA N° 23115 012534/2008-41)</em>","Não há conflito de interesse"
AO0027,,"Nowcasting: isolamento social durante a pandemia de COVID-19 aumentou o interesse dos usuários do Google por informações sobre dor de dente","UNIVERSIDADE DE SÃO PAULO - BAURU.","Rizzato VL*, Lotto M, Pereira AFF, Oliveira TM, Rios D, Machado MAAM, Cruvinel T","<em>(Apoio: CNPq N° 133232/2019-0)</em>","Não há conflito de interesse"
AO0028,,"Impacto dos componentes estéticos e oclusais do DAI na determinação da necessidade de tratamento ortodôntico","Pós Graduação Em Odontologia- Ortodontia - CENTRO UNIVERSITÁRIO DA FUNDAÇÃO HERMÍNIO OMETTO.","Araujo CVS*, Silva DAF, Carneiro DPA, Santamaria-Júnior M, Meneghim MC, Vedovello SAS",,"Não há conflito de interesse"
AO0029,,"Redução no número de Agentes Comunitários de Saúde e Equipes de Saúde Bucal após Política Nacional de Atenção Básica 2017","UNIVERSIDADE FEDERAL DA PARAÍBA.","Freire DEWG*, Alemán JAS, Lucena CDRX, Silva RO, Pucca-Junior GA, Pereira AC, Lucena EHG, Cavalcanti YW","<em>(Apoio: CAPES N° 001)</em>","Não há conflito de interesse"
AO0030,,"Avaliação de indicadores odontológicos antes e após a qualificação de profissionais do SUS","Odontologia - UNIVERSIDADE ESTADUAL DE MARINGÁ.","Antoniassi CP*, Fujimaki M",,"Não há conflito de interesse"
AO0031,,"Digluconato de clorexidina inibe competência para transformação genética em <em>Streptococcus mutans</em>","Biociências - FACULDADE DE ODONTOLOGIA DE PIRACICABA.","Pagotto LL*, Petersen FC, Junges R, Silva GS, Ricomini-Filho AP","<em>(Apoio: INTPART/Research Council of Norway N° 274867)</em>","Não há conflito de interesse"
AO0032,,"Liberação <em>in vitro</em> do fluoreto de diferentes formulações de dentifrícios como indicador de biodisponibilidade durante a escovação","Ciências Fisiológicas - FACULDADE DE ODONTOLOGIA DE PIRACICABA.","Queiroz MX*, Ricomini-Filho AP, Cury JA","<em>(Apoio: CNPq N° 133173/2018-6 | CAPES N° 001)</em>","Não há conflito de interesse"
AO0033,,"Tratamento da candidose bucal com agentes antifúngicos naturais secretados por <em>Streptococcus mutans</em>","Biociências e Diagnóstico Bucal - INSTITUTO DE CIÊNCIA E TECNOLOGIA / ICT-UNESP-SJC.","Alves MS*, Santos JD, Fugisaki LRO, Medina RP, Barros PP, Ribeiro FC, Silva DHS, Junqueira JC","<em>(Apoio: FAPESP N° 2016/05226-5 | FAPESP N° 2016/03395-4 | CNPq N° (306330/2018-0))</em>","Não há conflito de interesse"
AO0034,,"Influência clínica de Ca(OH)2 e N acetil cisteína nos níveis de Resolvinas E1 e D2 em periodontite apical","Odontologia Restauradora - INSTITUTO DE CIÊNCIA E TECNOLOGIA / ICT-UNESP-SJC.","Corazza BJM*, Martinho FC, Orozco EIF, Toia CC, Khoury RD, Minhoto GB, Prado RF, Valera MC","<em>(Apoio: FAPESP N° 2016/26012-3 | FAPESP N° 2018/01703-9)</em>","Não há conflito de interesse"
AO0035,,"Eficácia dos extratos de diferentes espécies de <em>Cryptocarya (Lauraceae)</em> sobre biofilme de <em>Candida albicans</em>","Materiais Dentários e Próteses - UNIVERSIDADE ESTADUAL PAULISTA - ARARAQUARA.","Tasso CO*, Zoccolotti JO, Appoloni JM, Jorge JH","<em>(Apoio: FAPs - Fapesp N° 2018/16818-6)</em>","Não há conflito de interesse"
AO0036,,"Atividade probiótica e posbiótica de <em>Lactobacillus paracasei</em> 28.4 em <em>Candida albicans</em> e <em>Candida auris</em>: Estudo <em>in vitro</em> e<em> in vivo</em>","Biociências e Diagnóstico Bucal - UNIVERSIDADE ESTADUAL PAULISTA - SÃO JOSÉ DOS CAMPOS.","Rossoni RD*, Barros PP, Fenley JC, Mendonça IC, Silva DHS, Fuchs EB, Mylonakis E, Junqueira JC","<em>(Apoio: FAPs - Fapesp N° 2017/19219-3 | FAPs - Fapesp N° 2018/21239-5)</em>","Não há conflito de interesse"
AO0037,,"Mecanismos de ação da Terapia Sonofotodinâmica mediada pela Curcumina contra biofilmes de <em>Staphylococcus aureus</em>","Física e Ciência dos Materiais - INSTITUTO DE FÍSICA DE SÃO CARLOS - UNIVERSIDADE DE SÃO PAULO (USP).","Alves F*, Inada NM, Pratavieira S, Bagnato VS, Kurachi C","<em>(Apoio: FAPs - FAPESP N° 2013/07276-1)</em>","Não há conflito de interesse"
AO0038,,"Ester fenetil do ácido cafeico (CAPE) controla o crescimento, biofilme e candidíase experimental por <em>Candida auris</em>","Biociências e Diagnóstico Bucal - INSTITUTO DE CIÊNCIA E TECNOLOGIA / ICT-UNESP-SJC.","Barros PP*, Rossoni RD, Lopes LAC, Garcia MT, Souza CM, Fuchs EB, Mylonakis E, Junqueira JC","<em>(Apoio: FAPs - FAPESP N° 2017/02652-6  | FAPs - FAPESP (BEPE) N° 2019/05664-0)</em>","Não há conflito de interesse"
AO0039,,"Avaliação de atividade antimicrobiana e antibiofilme de uma hidroxichalconas 4' sobre <em>Streptococcus mutans</em>","Materiais Odontológicos - UNIVERSIDADE ESTADUAL PAULISTA - ARARAQUARA.","Lobo CIV*, Klein MI","<em>(Apoio: CNPq N° 409668/2018-4 | CAPES | CNPq)</em>","Não há conflito de interesse"
AO0040,,"Tolerância de biofilme de <em>Candida albicans</em> a aplicações sucessivas de Terapia Fotodinâmica Antimicrobiana","UNIVERSIDADE ESTADUAL PAULISTA - ARARAQUARA.","Dias LM*, Klein MI, Jordão CC, Bellini A, Sousa TV, Carmello JC, Pavarina AC","<em>(Apoio: FAPs - FAPESP N°  2018/14874-6 | FAPs - FAPESP N° 2014/50857-8)</em>","Não há conflito de interesse"
AO0041,,"Avaliação das propriedades antibiofilme do extrato de <em>Pelargonium sidoides</em> sobre <em>Candida albicans</em>","Odontologia Social - UNIVERSIDADE ESTADUAL PAULISTA - ARARAQUARA.","Reina BD*, Malheiros SS, Dovigo LN","<em>(Apoio: CAPES N° 04/2019)</em>","Não há conflito de interesse"
AO0042,,"Estudo dos Fatores de Virulência de <em>Candida</em> spp. isoladas da cavidade bucal de pacientes pediátricos em UTI","Odontopediatria e Ortodontia - UNIVERSIDADE FEDERAL DO RIO DE JANEIRO.","Silva LSL*, Miyahira KM, Curvelo JAR, Portela MB, Castro GFBA","<em>(Apoio: CAPES N° 001)</em>","Não há conflito de interesse"
AO0043,,"Efetividade de um aplicativo para celulares como auxiliar no controle da cárie da primeira infância: estudo clínico randomizado","Odontopediatria,ortodontia e Saúde Colet - UNIVERSIDADE DE SÃO PAULO - BAURU.","Lotto M*, Strieder AP, Aguirre PEA, Machado MAAM, Oliveira TM, Rios D, Cruvinel T","<em>(Apoio: Fundação de Amparo à Pesquisa do Estado de São Paulo N° 2017/25899-7)</em>","Não há conflito de interesse"
AO0044,,"Efeitos do treinamento físico aeróbico e de resistência sobre a movimentação dentária ortodôntica","Ciências da Saúde - UNIVERSIDADE FEDERAL DE LAVRAS.","Pereira LJ*, Macari S, Gomez RS, Coimbra CC, Silva TA, Paiva SM","<em>(Apoio: CNPq N° 103892/2018-4)</em>","Não há conflito de interesse"
AO0045,,"Sobrevida de Restaurações Diretas em Primeiros Molares com Hipomineralização de Molares e Incisivos: Estudo Clínico Randomizado","UNIVERSIDADE FEDERAL DO PARANÁ.","Nagata AG*, Rolim TZC, Wambier LM, Costa TRF, Assunção LRS, Chibinski ACR, Menezes JVNB, Souza JF",,"Não há conflito de interesse"
AO0046,,"Análise de elemento finito de dois métodos de distalização de molares associados a ancoragem esquelética","Ortodontia - UNIVERSIDADE DE SÃO PAULO - BAURU.","Bellini-Pereira SA*, Souza LVF, Aliaga-Del-castillo A, Garib DG, Janson G, Henriques JFC","<em>(Apoio: CAPES N° 001)</em>","Não há conflito de interesse"
AO0047,,"Avaliação do possível bruxismo do sono e fatores associados na primeira infância","Pós Graduação Em Odontologia - CENTRO UNIVERSITÁRIO DA FUNDAÇÃO HERMÍNIO OMETTO.","Carneiro DPA*, Emidio CAS, Santos PR, Nabarrette M, Vedovello-Filho M, Meneghim MC, Vedovello SAS, Valdrighi H",,"Não há conflito de interesse"
AO0048,,"O efeito da analgesia preemptiva na dor trans- e pós-operatória em exodontias de molares decíduos: ensaio clínico randomizado","Odontologia - UNIVERSIDADE FEDERAL DE SANTA CATARINA.","Santos PS*, Massignan C, Oliveira EV, Santana CM, Borgatto AF, Bolan M, Cardoso M","<em>(Apoio: CAPES N° 001)</em>","Não há conflito de interesse"
AO0049,,"RRAE 6 meses após o início do tratamento ortodôntico com alinhadores e aparelho fixo: estudo clínico randomizado","Ortodontia - UNIVERSIDADE ESTADUAL DE MARINGÁ.","Toyokawa-Sperandio KC*, Fuschiani VMO, Assunção LSG, Conti ACCF, Fernandes TMF, Almeida MR, Almeida-Pedrin RR, Oltramari PVP","<em>(Apoio: CAPES | Align Technology | 3M Oral Care )</em>","Não há conflito de interesse"
AO0050,,"Avaliação da espessura do palato para expansores fixos ancorados em mini-implantes: estudo de mapeamento tomográfico","UNIVERSIDADE GUARULHOS.","Negrisoli S*, Labegalini LD, Chiquito EM, Amad RCOA, Gonçalves JR, Maltagliati LA, Angelieri F, Nahás-Scocate ACR",,"Não há conflito de interesse"
AO0051,,"Protetores Bucais: Avaliação da contaminação microbiana, rugosidade superficial e eficácia da clorexidina como método de desinfecção","Clinica Infantil - UNIVERSIDADE DE SÃO PAULO - RIBEIRÃO PRETO.","Ribeiro YJS*, Delgado RZR, Palma-Dibb RG, Paula-Silva FWG, Feres M, Segato RAB, Faraoni JJ, Nelson-Filho P",,"Não há conflito de interesse"
AO0052,,"Effect of bioelectrical stimulation on orthodontic tooth movement: Randomized clinical study","Pós Graduação - CENTRO UNIVERSITÁRIO DA FUNDAÇÃO HERMÍNIO OMETTO.","Barsi PC*, Mathias-Santamaria IF, Zuppardo ML, Zaniboni E, Santamaria MP, Santamaria-Júnior M",,"Não há conflito de interesse"
AO0053,,"""Você está satisfeito com a sedação da sua criança?"": sedação sob a ótica dos acompanhantes","Prevenção e Reabilitação Oral - UNIVERSIDADE FEDERAL DE GOIÁS.","Anabuki AA*, Rodrigues VBM, Corrêa-Faria P, Costa LRRS","<em>(Apoio: CNPq N° 28/2018 | FAPEG N° 07/2017)</em>","Não há conflito de interesse"
AO0054,,"Análise subjetiva e objetiva da gelatina balística como um promissor novo material simulador de tecidos moles em imagens de TCFC","Faculdade de Odontologia de Piracicaba - FACULDADE DE ODONTOLOGIA DE PIRACICABA.","Fontenele RC*, Nascimento EHL, Lopes PA, Santaella GM, Vasconcelos KF, Oenning ACC, Groppo FC, Freitas DQ","<em>(Apoio: CAPES N° 001)</em>","Não há conflito de interesse"
AO0055,,"Explorando o papel de NFkB na regulação epigenética e acúmulo de células-tronco em linhagem de carcinoma oral resistente à Cisplatina","Biologia Oral - UNIVERSIDADE DE SÃO PAULO - RIBEIRÃO PRETO.","Castro LR*, Milan TM, Almeida LO","<em>(Apoio: FAPESP N° 2019/05782-3)</em>","Não há conflito de interesse"
AO0056,,"Análise multivariada, estudo de correlação e modelo de regressão linear de macrófagos em líquen plano oral e lesão liquenóide oral","Diagnóstico e Cirurgia - UNIVERSIDADE ESTADUAL PAULISTA - ARARAQUARA.","Ferrisse TM*, Oliveira AB, Palaçon MP, Silva EV, Massucato EMS, Almeida LY, León JE, Bufalino A","<em>(Apoio: CAPES N° 001)</em>","Não há conflito de interesse"
AO0057,,"Análise fractal do trabeculado ósseo mandibular de indivíduos com Osteogênese Imperfeita: um estudo piloto","Odontologia Social e Preventiva - UNIVERSIDADE FEDERAL DE MINAS GERAIS.","Prado HV*, Teixeira SA, Mota RN, Brasileiro CB, Vargas-Ferreira F, Borges-Oliveira AC","<em>(Apoio: CAPES | CNPq)</em>","Não há conflito de interesse"
AO0058,,"Microestrutura óssea em dois diferentes parâmetros de aquisição de imagem","UNIVERSIDADE DE SÃO PAULO - SÃO PAULO.","Friedrichsdorf SP*, Ferreira SG, Arana-Chavez VE, Dominguez GC, Spin Neto R","<em>(Apoio: CAPES)</em>","Não há conflito de interesse"
AO0059,,"Avaliação tomográfica da morfologia e de posicionamento do processo condilar em pacientes com má-oclusão","Radiologia - PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS.","Ianni TMS*, Carlos PPS, Azevedo MN, Manzi FR, Silva AIV",,"Não há conflito de interesse"
AO0060,,"Acetilação de histona H3 e sua associação com eventos iniciais da tumorigênese em linhagens de queratinócitos orais displásicos e tumorais","Diagnóstico e Cirurgia - UNIVERSIDADE ESTADUAL PAULISTA - ARARAQUARA.","Barbeiro CO*, Fernandes D, Almeida LY, León JE, Bufalino A","<em>(Apoio: FAPs - Fapesp N° 2018/04954-2)</em>","Não há conflito de interesse"
AO0061,,"Efeito de fármacos inibidores de histonas deacetilase sobre células tronco tumorais de carcinoma mucoepidermoide de glândula salivar","Estomatologia - UNIVERSIDADE DE SÃO PAULO - SÃO PAULO.","Aguiar EMG*, Heguedusch D, Sousa LF, Miguita L, Rodrigues MFD, Siqueira JM, Sanches GT, Nunes FD","<em>(Apoio: CNPq N° 60778216.0.0000.0075)</em>","Não há conflito de interesse"
AO0062,,"Influência do tamanho de voxel e do método de segmentação de imagens de micro-CT na avaliação do preenchimento de canais radiculares","Odontologia Restauradora - UNIVERSIDADE ESTADUAL PAULISTA - ARARAQUARA.","Torres FFE*, Pinto JC, Lucas-Oliveira E, Bonagamba TJ, Guerreiro-Tanomaru JM, Tanomaru-Filho M","<em>(Apoio: FAPs - Fapesp N° 2016/00321-0, 2018/19665-6, 2017/19049-0 | CAPES N° 001)</em>","Não há conflito de interesse"
AO0063,,"Bioprospecção de produtos naturais como fotossensibilizadores em terapia fotodinâmica contra <em>Staphylococcus aureus</em> e <em>Candida albicans</em>","Clinica Infantil - UNIVERSIDADE ESTADUAL PAULISTA - ARARAQUARA.","Oliveira AB*, Ferrisse TM, Annunzio SR, Franca MGA, Silva MGV, Cavalheiro AJ, Fontana CR, Brighenti FL","<em>(Apoio: Fundação de Amparo à Pesquisa do Estado de São Paulo (FAPESP)  N° 2018184400 | CAPES N° 001)</em>","Não há conflito de interesse"
AO0064,,"Associação do polimorfismo rs946252 do gene AMELX com a cárie dentária  em uma população do sul do Brasil","Odontologia Preventiva e Social - UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL.","Schwertner C*, Brown AA, Grando D, Boquett JA, Schüler-Faccini L, Hashizume LN",,"Não há conflito de interesse"
AO0066,,"Efeito da combinação da exposição diurna à sacarose com a noturna à lactose na desmineralização do esmalte","Odontologia - FACULDADE DE ODONTOLOGIA DE PIRACICABA.","Vieira JC*, Cury JA, Ricomini-Filho AP","<em>(Apoio: CNPq N° 430224/2018-4 | FAPEMA N° 08790/17)</em>","Não há conflito de interesse"
AO0067,,"Avaliação do efeito fototóxico de diferentes comprimentos de onda de luz LED sobre a expressão da topoisomerase II de <em>Staphylococcus aureus</em>","Materiais Odontológicos e Prótese - UNIVERSIDADE ESTADUAL PAULISTA - ARARAQUARA.","Jordão CC*, Sousa TV, Dias LM, Carmello JC, Klein MI, Pavarina AC","<em>(Apoio: CNPq N° 47721 | Fundação de Amparo à Pesquisa do Estado de São Paulo-FAPESP N° 2017/02559-6 | Fundação de Amparo à Pesquisa do Estado de São Paulo-FAPESP N° 2016/13868-7)</em>","Não há conflito de interesse"
AO0068,,"Otimização dos parâmetros da técnica direta usando EIE para determinação de fluoreto em dentifrícios à base de NaFPO/CaCO e NaF/SiO","FACULDADE DE ODONTOLOGIA DE PIRACICABA.","Miranda LFB*, Tabchoury CPM, Cury JA","<em>(Apoio: CAPES N° 88882.329875/2019-01 | CNPq N° 435955/2018-7)</em>","Não há conflito de interesse"
AO0069,,"Comparação termográfica do comportamento dos músculos temporal e masseter entre gêneros em atletas de <em>Crossfit</em>® na avaliação de força molar","Biologia Básica e Oral - UNIVERSIDADE DE SÃO PAULO - RIBEIRÃO PRETO.","Santos AHL*, Fioco EM, Fabrin SCV, Gomes GGC, Silva NS, Prandi MVR, Verri ED, Regalo SCH",,"Não há conflito de interesse"
AO0070,,"Relação entre saúde bucal e características nutricionais de adultos com obesidade mórbida: uma análise multivariada","UNIVERSIDADE FEDERAL DE SÃO PAULO .","Marquezin MCS*, Chaves-Junior SC, Rasera-Júnior I, Pacheco ERP, Gavião MBD, Lamy ECCS, Castelo PM","<em>(Apoio: 2017/26400-6 N° FAPESP | FAPESP N° 2016/10940-9)</em>","Não há conflito de interesse"
AO0071,,"Ação protetora do TiF na desmineralização da dentina sob modelo de biofilme microcosmo simulando efeito da radioterapia de cabeça-pescoço","Ciências Biológicas - UNIVERSIDADE DE SÃO PAULO - BAURU.","Souza BM*, Silva MS, Braga AS, Bueno PSK, Santos PSS, Buzalaf MAR, Magalhães AC","<em>(Apoio: FAPs - FAPESP N° 2019/07241-0 | FAPs - Fapesp N° 2019/21797-0)</em>","Não há conflito de interesse"
AO0072,,"Maioria dos dentifrícios brasileiros comercializados para crianças apresentam fluoreto biodisponível para interferir com a cárie dental","Ciencias Fisiologicas - FACULDADE DE ODONTOLOGIA DE PIRACICABA.","Valdivia-Tapia AC*, Costa RCNP, Leite-Filho AM, Miranda LFB, Cury JA","<em>(Apoio: CNPq N° 131732/2019-6; 435955/2018-7 | CAPES N° 001; 88882.329875/2019-01; 88882.445799/2019-01; 88887.341996-00 | FUNCAMP N° Conv. 4887.1 e 65/91)</em>","Não há conflito de interesse"
AO0073,,"Polimorfismo rs35874116 do gene<em> TAS1R2 </em>e sua associação com cárie dentária","Odontologia Preventiva e Social - UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL.","Grando D*, Schwertner C, Brown AA, Boquett JA, Schüler-Faccini L, Hashizume LN",,"Não há conflito de interesse"
AO0074,,"Avaliação de um dispositivo polimérico para anestesia local: teste in vivo em humanos adultos em procedimentos clínicos odontológicos","Materias Dentários e Prótese - UNIVERSIDADE DE SÃO PAULO - RIBEIRÃO PRETO.","Adami LE*, Ferreira MP, Freitas O, Figueiredo FAT, Macedo AP, Pedrazzi V","<em>(Apoio: Fapesp  N° 2015/26138-4)</em>","Não há conflito de interesse"
